BHK,Bathroom,Parking,Area,Per_Sqft,Furnishing,Status,Transaction,Type,Locality,Price
3,2,1,800,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 25,6500000
2,2,1,750,6667,Semi-Furnished,Ready_to_move,New_Property,Apartment,"J R Designers Floors, Rohini Sector 24",5000000
2,2,1,950,6667,Furnished,Ready_to_move,Resale,Apartment,"Citizen Apartment, Rohini Sector 13",15500000
2,2,1,600,6667,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Rohini Sector 24,4200000
2,2,1,650,6667,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",6200000
4,3,1,1300,6667,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 24,15500000
4,3,1,1350,6667,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Rohini Sector 24,10000000
2,2,1,650,6154,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Delhi Homes, Rohini Sector 24",4000000
3,3,1,985,6154,Unfurnished,Almost_ready,New_Property,Builder_Floor,Rohini Sector 21,6800000
4,4,1,1300,6154,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 22,15000000
3,2,1,1100,6154,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 20,6200000
3,2,1,870,6154,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 25,7700000
2,2,1,630,6154,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 24,5500000
2,2,1,660,6154,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Rohini Sector 24,5000000
2,2,1,344.4448,6154,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,3310000
2,2,1,660,6154,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",4700000
2,2,1,550,6154,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 22,4500000
4,3,1,1100,6154,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 16,17000000
3,3,1,1150,6154,Semi-Furnished,Ready_to_move,Resale,Apartment,Rohini Sector 14,25000000
2,2,1,650,6154,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Rohini Sector 24,6000000
2,2,1,850,6154,Semi-Furnished,Ready_to_move,Resale,Apartment,"Mayur Apartment, Rohini Sector 9",11000000
3,2,5,900,6154,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Vijay Vihar, Rohini",4500000
1,1,2,430.556,6154,Furnished,Ready_to_move,Resale,Apartment,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",5300000
2,2,1,900,6154,Semi-Furnished,Ready_to_move,Resale,Apartment,"Prashant Vihar, Rohini",10500000
2,2,1,914.9315,6154,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Rohini Sector 5,12000000
3,3,1,1100,6364,Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 20,7000000
3,2,1,800,8750,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Rohini Sector 25,7000000
1,1,1,500,8750,Semi-Furnished,Ready_to_move,Resale,Apartment,"Sanskriti Apartment, Rohini Sector 28",3400000
2,2,1,28,8750,Furnished,Ready_to_move,New_Property,Apartment,Rohini Sector 25,5000000
4,4,1,2160,9722,Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 19,21000000
1,,,1500,,Unfurnished,Ready_to_move,Resale,Apartment,Lajpat Nagar 2,13500000
2,2,1,800,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 1,15000000
2,2,1,900,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar,10500000
3,2,1,1080,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar",22500000
2,2,1,750,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 4,13600000
3,3,2,1450,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,30000000
2,2,1,900,,Semi-Furnished,Ready_to_move,New_Property,Apartment,Lajpat Nagar,13500000
2,2,1,810,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",8910000
3,4,1,1350,,Unfurnished,Ready_to_move,Resale,Apartment,Lajpat Nagar,25000000
3,3,4,1710,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,26000000
3,3,1,1650,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar,30000000
2,2,1,1280,,Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar,12500000
3,3,1,1260,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,21000000
2,2,1,1130,,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 4,7800000
2,2,1,600,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Amar Colony, Lajpat Nagar",11500000
2,2,1,850,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 1,11500000
3,3,2,1500,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,26000000
2,2,2,900,14444,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Amar Colony, Lajpat Nagar",13000000
3,3,1,1000,22000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar",22000000
2,2,1,900,22000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,15800000
4,4,2,2925,22000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,57500000
2,2,2,900,22000,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 1,10000000
3,3,2,1600,22000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,30000000
3,3,2,1143,22000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar",22000000
3,3,2,1150,22000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar",24000000
3,3,1,1500,22000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,31500000
2,2,1,850,22000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,14600000
4,5,1,8000,22000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar,240000000
2,2,1,890,22000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 1,8300000
3,3,1,1100,22000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Vikram Vihar, Lajpat Nagar",22500000
1,1,2,750,,Furnished,Ready_to_move,Resale,Apartment,"DDA Flats Sector 14, Dwarka Sector 14",4600000
2,1,2,850,2235,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Siddhartha Heights, Dwarka Sector 24",1900000
3,2,1,1350,3800,Unfurnished,Ready_to_move,New_Property,Apartment,"MTNL Employees House Welfare Society, Dwarka Sector 24",5130000
4,4,1,1387,4247,Unfurnished,Ready_to_move,New_Property,Apartment,"Delhi Homes Yojana, Dwarka Sector 24",5890000
3,2,1,1050,3524,Unfurnished,Ready_to_move,New_Property,Apartment,"The Elite Spire, Dwarka Sector 21",3700000
3,2,1,1500,3524,Unfurnished,Ready_to_move,Resale,Apartment,"Kunj Vihar Apartment, Dwarka Sector 12",17400000
3,3,1,1200,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Ashirwad Apartments, Dwarka Sector 12",15500000
2,1,1,700,3524,Semi-Furnished,Almost_ready,New_Property,Apartment,"MTNL Employees House Welfare Society, Dwarka Sector 24",2400000
3,2,1,1700,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Sunny Valley Apartments, Dwarka",17200000
3,2,2,1550,3524,Furnished,Ready_to_move,Resale,Apartment,"Shri Agrasen Apartment, Dwarka Sector 7",14200000
3,3,1,1400,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Chopra Apartment, Dwarka Sector 23",13500000
4,4,1,1900,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Mohinder Apartments, Dwarka Sector 12",30000000
4,3,1,2160,3524,Unfurnished,Ready_to_move,Resale,Apartment,"Chander Lok Apartment, Dwarka Sector 19",21000000
4,3,1,1700,3524,Unfurnished,Ready_to_move,Resale,Apartment,"Neelachal, Dwarka Sector 5",20500000
3,4,1,1850,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,Dwarka,24000000
4,2,1,1800,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"MeeraBai Apartment, Dwarka Sector 5",16500000
3,2,1,1620,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Crescent Apartments, Dwarka Sector 18",14900000
4,3,1,1800,3524,Furnished,Ready_to_move,Resale,Apartment,"Ashoka Enclave Apartment, Dwarka Sector 11",19200000
3,3,1,1540,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Nav Kairali Apartment, Dwarka Sector 3",14500000
3,3,1,1600,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Ashirwad Apartments, Dwarka",15600000
3,2,1,1400,3524,Unfurnished,Ready_to_move,Resale,Apartment,"Indraprastha Apartment, Dwarka Sector 12",11400000
4,4,1,2300,3524,Furnished,Ready_to_move,Resale,Apartment,"Mohinder Apartments, Dwarka",31500000
3,2,2,1560,3524,Furnished,Ready_to_move,Resale,Apartment,"Ashoka Apartments, Dwarka Sector 12",15800000
3,3,2,1500,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Karuna Vihar Apartment, Dwarka",16000000
3,3,1,1540,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Nav Kairali Apartment, Dwarka Sector 3",14500000
2,2,1,1050,3524,Unfurnished,Ready_to_move,Resale,Apartment,"LNT Apartments, Dwarka",10500000
3,2,1,1800,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,Dwarka Sector 4,14800000
1,1,1,400,3524,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1850000
3,2,1,1150,3524,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Dwarka Sector 16B,6800000
3,3,1,1525,3524,Semi-Furnished,Ready_to_move,Resale,Apartment,"Chopra Apartment, Dwarka Sector 23",14200000
1,1,,900,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,8900000
3,3,2,1450,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,37500000
3,3,2,1450,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,30000000
3,3,2,1260,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,21000000
4,4,2,2925,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,57500000
3,3,1,1710,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,30000000
3,3,1,1600,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,30000000
3,3,1,1500,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,31500000
3,3,1,2200,,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,30000000
3,3,1,1350,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,41500000
3,3,1,1710,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,24800000
3,3,2,1350,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,35000000
3,3,1,1500,26666,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,40000000
4,5,1,2880,15972,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,46000000
